question,ground_truth,contexts,source,page
How many assignments will be given in the first half of the semester?,SIX assignments,"['Advance Computing Center (TACC) services.  \nClass Participation \nStudents are expected to attend every class and actively engage themselves in class \ndiscussions and complete the lab tutorial at the end of every session. They may \nproof-read, polish and submit the tutorial by 11:59PM on the class day. \n  \nAssignments and Course Project \nThe class format is split between reading and coding assignments for the first half of the \nsemester followed by a project the second half of the semester. \n\xa0 \n1.Assignments \nSIX assignments will be given in the first half of the semester. Each assignment may have \neither (a) a theoretical question based on weekly assigned readings or (b) a coding exercise \nsimilar to the lab or both. Assignments are intended to bring conceptual clarity, stimulate']",../data/course_syllabus.pdf,2
What should a student do if they think they may have a disability and need accommodations?,Contact Services for Students with Disabilities (SSD) for assistance.,"['experience any barriers to learning so I can work with you to ensure you have equal \nopportunity to participate fully in this course. If you are a student with a disability, or think \nyou may have a disability, and need accommodations please contact Services for Students \nwith Disabilities (SSD). Please refer to SSD’s website for contact and more information: \nhttp://diversity.utexas.edu/disability/. If you are already registered with SSD, please']",../data/course_syllabus.pdf,1
What do preceding discourse connectors like 'therefore' and 'consequently' signal in an argument?,They signal a subsequent claim.,"['568 CHAPTER 24 • D ISCOURSE COHERENCE\nStab and Gurevych Parsing Argumentation Structures\ncloning. This example illustrates that knowing argumentative relations is important for\nseparating several arguments in a paragraph. The example also shows that argument\ncomponents frequently exhibit preceding text units that are not relevant to the argument\nbut helpful for recognizing the argument component type. For example, preceding dis-\ncourse connectors like “therefore”, “consequently”, or “thus” can signal a subsequent\nclaim. Discourse markers like “because”, “since”, or “furthermore” could indicate a\npremise. Formally , thesepreceding tokens of an argument component starting at token\nti are deﬁned as the tokens ti\x00m, ..., ti\x001 that are not covered by another argument']",../data/course_textbook.pdf,575
What is one of the learning objectives related to knowledge representation mentioned in the text?,Learn to extract information from unstructured text and represent them in the form of knowledge graphs.,"['3.Train machine learning algorithms for natural language understanding and generation \nand evaluate their performance.  \n4.Learn to extract information from unstructured text and represent them in the form of \nknowledge graphs \n5.Learn to use existing knowledge graphs, ontologies and lexical knowledge networks for \npredictive analysis on text \n6.Learn about popular NLP applications and tasks and the process of building such \napplications \n7.Propose a novel product/research-focused idea (this will be an iterative process), \ndesign and execute experiments, and present the findings and demos to a suitable \naudience (in this case, the class). \n  \nPrerequisites \n[1] INF 380P: Introduction to Programming in Python or equivalent \nprograming coursework']",../data/course_syllabus.pdf,1
What is the name of China's biggest city?,上海 (Shanghai),"['(中国最大的城市; China’s biggest city) is not a mention.\n(23.25) her pay jumped to $2.3 million\n(23.26) the 38-year-old became the company’s president\n(23.27) 上海是[中国最大的城市] [Shanghai is China’s biggest city]\nExpletives: Many uses of pronouns like it in English and corresponding pronouns\nin other languages are not referential. Such expletive or pleonastic cases includeexpletive\nit is raining, in idioms like hit it off, or in particular syntactic situations like cleftsclefts\n(23.28a) or extraposition (23.28b):\n(23.28) a. It was Emma Goldman who founded Mother Earth\nb. It surprised me that there was a herring hanging on her wall.\nGenerics: Another kind of expression that does not refer back to an entity explic-\nitly evoked in the text is generic reference. Consider (23.29).']",../data/course_textbook.pdf,534
What is the focus of WEEK 1 in the course outline?,Introduction to Natural Language Processing,"['Grade Breaks \nCourse Outline  \nAll instructions, assignments, readings, rubrics and essential information will \nbe on the Canvas website. Check the site regularly and use it to ask questions about the \ncourse schedule. Changes to the schedule may be made at my discretion and if \ncircumstances require. For example, we might want to slow down, speed up or drop certain \ntopics depending on student input. It is your responsibility to note these changes when \nannounced. Moreover, please note that the readings provided are preliminary and may be \nsupplemented with additional resources as the course progresses. \n1. WEEK 1. Introduction to Natural Language Processing \nLecture: Course Overview, Syllabus, Overview of applications and real-world examples,']",../data/course_syllabus.pdf,4
What is the purpose of the second stage of training in the model described in the text chunk?,"The purpose of the second stage of training is to take the representations produced by the model, cluster them into 500 clusters, and use those as the target for training to learn more accurate and fine-grained representations.","['computes the probability of that class, and uses the logprob as the loss.\nOnce the model has been initially trained to map to MFCC vector centroids, a\nsecond stage of training occurs, where we take the representations produced by the\nmodel, cluster them into 500 clusters, and use those instead as the target for training.\nThe intuition is that the initial MFCC clusters will bias the model toward phonetic\nrepresentations, but after enough training the model will learn more accurate and\nﬁne-grained representations. Fig. 15.10 shows the intuition.\nk-means clustering\nMFCC\nEntire training data\ncodebook \nk-means clustering\nHubert forward pass\n layer 6 output\n10% of training data\ncodebook \nStage 1 class induction Stage 2 class induction\n1\n100\n100 units\n2 1\n500\n500 units\n2\n39-d 768-d']",../data/course_textbook.pdf,360
What federal law protects against sex and gender-based discrimination?,Title IX,"['Comanche, Kickapoo, Lipan Apache, Tonkawa and Ysleta Del Sur Pueblo, and all the \nAmerican Indian and Indigenous Peoples and communities who have been or have become \na part of these lands and territories in Texas. \nTitle IX Reporting  \nTitle IX is a federal law that protects against sex and gender-based discrimination, sexual \nharassment, sexual assault, unprofessional or inappropriate conduct of a sexual nature,']",../data/course_syllabus.pdf,10
What is the primary mode of instruction for the courses mentioned in the text?,"In person, with some exceptions depending on the state of the COVID-19 pandemic.","['I310D: Introduction to Human Centered Data Science \nI320D: Topics in Data Science – Applied Machine Learning with Python \n\xa0 \nInstruction Modality \nClass meetings will be in person, with some exceptions, dependent on the state of the \nCOVID-19 pandemic. Only if we are unable to meet in person, classes will be held virtually \nvia Zoom. The classes will consist of a mixture of lectures and hands-on sessions. As of \nnow, there are no plans to record lectures. \nAccommodations for Students with Disabilities \nThe university is committed to creating an accessible and inclusive learning environment \nconsistent with university policy and federal and state law. Please let me know if you \nexperience any barriers to learning so I can work with you to ensure you have equal']",../data/course_syllabus.pdf,1
What type of attention is added in the transformer blocks of the decoder?,Cross-attention,"['blocks.\nThe decoder is essentially a conditional language model that attends to the en-\ncoder representation and generates the target text (letters or tokens) one by one, at\neach timestep conditioning on the audio representations from the encoder and the\npreviously generated text to generate a new letter or token.\nThe transformer blocks in the decoder have an extra layer with a special kind\nof attention, cross-attention. Cross-attention has the same form as the multi-headcross-attention\nattention in a normal transformer block, except that while the queries as usual come\nfrom the previous layer of the decoder, the keys and values come from the output of\nthe encoder.\nThat is, where in standard multi-head attention the input to each attention layer']",../data/course_textbook.pdf,355
What is the maximum number of days a student can extend their submission using the grace policy?,Two days.,"['Late Work and Missed Work \nIn an effort to accommodate any unexpected personal events, I have enacted a grace \npolicy of two days for this course. You do not have to utilize this policy, but if you find \nyourself struggling with unexpected personal events, I encourage you to email me as soon \nas possible (in advance of the due date) to notify me that you are using our grace policy. \nYou may either have a two-day grace period for one assignment, or you may have 2 one-\nday extensions for two different assignments. The only absences that will be considered \nexcused are for religious holidays or extenuating circumstances due to an emergency. If \nyou plan to miss class due to observance of a religious holiday, please let us know at least']",../data/course_syllabus.pdf,3
Who are the authors of the paper titled 'Knowledge-free induction of inflectional morphologies'?,"Schone, P. and D. Jurafsky.","['word unit dictionary headwords a\nsolved problem? EMNLP.\nSchone, P. and D. Jurafsky. 2001b.\nKnowledge-free induction of inﬂec-\ntional morphologies. NAACL.\nSchuster, M. and K. Nakajima. 2012.\nJapanese and Korean voice search.\nICASSP.\nSchuster, M. and K. K. Paliwal. 1997.\nBidirectional recurrent neural net-\nworks. IEEE Transactions on Signal\nProcessing, 45:2673–2681.\nSch¨utze, H. 1992a. Context space.\nAAAI Fall Symposium on Proba-\nbilistic Approaches to Natural Lan-\nguage.\nSch¨utze, H. 1992b. Dimensions of\nmeaning. Proceedings of Supercom-\nputing ’92. IEEE Press.\nSch¨utze, H. 1997. Ambiguity Resolu-\ntion in Language Learning – Com-\nputational and Cognitive Models .\nCSLI, Stanford, CA.\nSch¨utze, H., D. A. Hull, and J. Peder-\nsen. 1995. A comparison of clas-\nsiﬁers and document representations']",../data/course_textbook.pdf,611
What needs to be recognized in order to produce a timeline of events related to fare increases?,"Temporal expressions like Friday, Thursday or two days from now and times such as 3:30 P.M.","['extraction\ntities participate, like, in our sample text, the fare increases byUnited and American\nand the reporting events said and cite. Events are also situated in time, occurring at\na particular date or time, and events can be related temporally, happening before or\nafter or simultaneously with each other. We’ll need to recognize temporal expres-\nsions like Friday, Thursday or two days from now and times such as 3:30 P .M., and\nnormalize them onto speciﬁc calendar dates or times. We’ll need to link Friday to\nthe time of United’s announcement, Thursday to the previous day’s fare increase,\nand we’ll need to produce a timeline in which United’s announcement follows the\nfare increase and American’s announcement follows both of those events.']",../data/course_textbook.pdf,462
What is the necessary prerequisite course for students who want to fully participate in the class?,INF 380P: Introduction to Programming in Python or equivalent programming coursework,"['audience (in this case, the class). \n  \nPrerequisites \n[1] INF 380P: Introduction to Programming in Python or equivalent \nprograming coursework \nThe proposed ML is applied in nature and there is a lab session in each class where \nstudents will code in Python. While the instructor will provide handouts for python basics, \nthere is no way a student without any knowledge in programming will be able to pick up \nand fully participate in classes. Hence, INF380P (or equivalent programming course) is a \nnecessary prerequisite.  \n[2] INF385T-Introduction to Machine Learning or equivalent ML coursework \nStudents are expected to have been exposed to harnessing and processing data, and apply \ntraditional machine learning algorithms (such as Logistic Regression, SVMs, Decision']",../data/course_syllabus.pdf,1
What are the topics covered in WEEK12 of the course?,"Knowledge networks and Ontology, WordNet, ConceptNet and DBPedia.","['12. WEEK12. Knowledge Networks + Pragmatics in NLP \nLecture: Knowledge networks and Ontology, WordNet, ConceptNet and DBPedia \nLab: Feature extraction using lexical knowledge nets for fact verification in LLMs \nReadings: \n[1] Tiwari, S., Gaurav, D., Srivastava, A., Rai, C., & Abhishek, K. (2021). A Preliminary \nStudy of Knowledge Graphs and Their Construction. Emerging Technologies in Data \nMining and Information Security: Proceedings of IEMIS 2020, Volume 3, 164, 11. \n[2] Pragmatics and Computational Linguistics, https://web.stanford.edu/~jurafsky/\nprag.pdf  \n13. WEEK13. Evaluation Metrics, Course summary and Conclusion \nLecture: Evaluation Metrics for NLP, Generation Evaluation, BLEU, METEOR, ROUGE, \nPerplexity, Evaluation of Creativity, Course summary and career options']",../data/course_syllabus.pdf,8
What is the date of the final project presentation?,12/05/2024,"['[1] Sai, A. B., Mohankumar, A. K., & Khapra, M. M. (2022). A survey of evaluation metrics \nused for NLG systems. ACM Computing Surveys (CSUR), 55(2), 1-39. \n14. WEEK14. Fall Break (NO CLASS)  \n15. WEEK 15. Final Project Presentation with Demo  \nProject: Final project presentation on 12/05/2024 \n16. WEEK 16. Offline Activity (Project Report) \nProject: Final project report on 12/11/2024 \nMantra for Student Success : Navigating the NLP Course \n•Achieve higher attendance, aiming for 100% to maximize exposure and engagement \nduring lectures and practical exercises. \n•Submit practicums and assignments promptly, recognizing that minor errors can be \noverlooked while focusing on continuous improvement. \n•Prioritize transparency by appropriately citing tools, resources, and data sources,']",../data/course_syllabus.pdf,9
What is the representation of each word in the first-layer Bi-LSTM?,"Each word is represented by its form and POS tag, concatenating their neural embeddings.","['sequencial EDUs. Given an input sentence {w1,w 2,. . . ,wm}, ﬁrst we represent each word by its form\n(e.g., wi) and POS tag (e.g. ti), concatenating their neural embeddings. By this way, the input vectors\nof the ﬁrst-layer Bi-LSTM are {xw\n1 , xw\n2 ,. . . ,xw\nm}, where xw\ni = emb(wi) \x00 emb(ti), and then we apply\nBi-LSTM directly, obtaining:\n{hw\n1 , hw\n2 ,. . . ,hw\nm} = Bi-LSTM({xw\n1 , xw\n2 ,. . . ,xw\nm}) (1)\nThe second-layer Bi-LSTM is built over sequential EDUs. We should ﬁrst obtain a suitable representa-\ntion for each EDU, which is composed by a span of words inside a certain sentence. Assuming an EDU\nwith its words by {ws,w s+1,. . . ,wt}, after applying the ﬁrst-layer Bi-LSTM, we obtain their representa-\ntions by {hw\ns , hw\ns+1..., hw']",../data/course_textbook.pdf,565
What is the focus of the lab in WEEK8?,Text summarization example using Large Language Models,"['Lab: Text classification revisited - with pre-trained language models \nReadings:  \n[1] Transfer Learning for Machine Learning https://www.seldon.io/transfer-learning  \n[2] Transformers and pre-trained language models: https://web.stanford.edu/~jurafsky/\nslp3/10.pdf  \nProject: Proposal and Planning Document \n8. WEEK8. NLP Applications \nLecture: Sentiment Analysis, Machine Translation, Question Answering, Summarization \nbasics, the impact of language models \nLab: Text summarization example using Large Language Models \nReadings:  \n[1] Patwardhan, N., Marrone, S., & Sansone, C. (2023). Transformers in the Real World: A \nSurvey on NLP Applications. Information, 14(4), 242. \nAssignment 5: Fine Tuning for Text Classification']",../data/course_syllabus.pdf,7
What are some traditional machine learning algorithms mentioned in the text?,"Logistic Regression, SVMs, Decision Trees, and Feed Forward networks.","['traditional machine learning algorithms (such as Logistic Regression, SVMs, Decision \nTrees and Feed Forward networks). INF385T may be treated as a co-requisite but it is \npreferable to complete INF385T before registering for the NLP course. Alternatively, \nstudents may opt for a combination of the following courses (or courses that are similar in \nnature):  \nSDS 321 - Introduction to Probability and Statistics  \nSDS 323 - Statistical Learning and Inference \nCS-329E: Elements of Data Analytics \nINF385T - Artificial Intelligence in Health \nOR Undergraduate Courses: \nI310D: Introduction to Human Centered Data Science \nI320D: Topics in Data Science – Applied Machine Learning with Python \n\xa0 \nInstruction Modality']",../data/course_syllabus.pdf,1
What was the purpose of the Berkeley Restaurant Project?,"To answer questions about a database of restaurants in Berkeley, California.","['now-defunct Berkeley Restaurant Project, a dialogue system from the last century\nthat answered questions about a database of restaurants in Berkeley, California (Ju-\nrafsky et al., 1994). Here are some sample user queries (text-normalized, by lower\ncasing and with punctuation striped) (a sample of 9332 sentences is on the website):\ncan you tell me about any good cantonese restaurants close by\ntell me about chez panisse\ni’m looking for a good place to eat breakfast\nwhen is caffe venezia open during the day\nFigure 3.1 shows the bigram counts from part of a bigram grammar from text-\nnormalized Berkeley Restaurant Project sentences. Note that the majority of the\nvalues are zero. In fact, we have chosen the sample words to cohere with each other;']",../data/course_textbook.pdf,49
"What percentage of the final grade is attributed to attendance, participation in class, and lab completion?",20%,"['you plan to miss class due to observance of a religious holiday, please let us know at least \ntwo weeks in advance. You will not be penalized for this absence, although you will still be \nresponsible for any work you will miss on that day if applicable. In the event of an \nunexcused absence, we do not guarantee the opportunity to make up missed in-class work, \nbut one may be granted. Check with us for details or arrangements. \nCourse grades will be made up of the following components. Final letter grades will be \nawarded according to the grade cutoffs below, including pluses and minuses. \nGrade Component Percentage\nAttendance, Participation in class and Lab \nCompletion\n20%\nIn-class paper based quiz 10%\nFIVE Assignments 40%\nFinal Project (presentation and report) 30%']",../data/course_syllabus.pdf,3
What is the method used to connect each word with its k nearest neighbors?,The method used is connecting each word with its k nearest neighbors according to cosine similarity.,"['connecting each word with its k nearest neighbors (according to cosine simi-\nlarity). The weights of the edge between words wi and w j are set as:\nEi, j = arccos\n(\n− wi⊤wj\n∥wi∥∥wj∥\n)\n. (22.4)\n2. Deﬁne a seed set:Choose positive and negative seed words.\n3. Propagate polarities from the seed set: Now we perform a random walk on\nthis graph, starting at the seed set. In a random walk, we start at a node and']",../data/course_textbook.pdf,515
What role does Victoria Chen hold at Megabucks Banking?,CFO,"['23.2 Coreference Tasks and Datasets\nWe can formulate the task of coreference resolution as follows: Given a text T , ﬁnd\nall entities and the coreference links between them. We evaluate our task by com-\nparing the links our system creates with those in human-created gold coreference\nannotations on T .\nLet’s return to our coreference example, now using superscript numbers for each\ncoreference chain (cluster), and subscript letters for individual mentions in the clus-\nter:\n(23.43) [Victoria Chen] 1\na, CFO of [Megabucks Banking]2\na, saw [[her]1\nb pay]3\na jump\nto $2.3 million, as [the 38-year-old]1\nc also became [[the company]2\nb’s\npresident. It is widely known that [she]1\nd came to [Megabucks]2\nc from rival\n[Lotsabucks]4\na.']",../data/course_textbook.pdf,536
What is the width of the kernel used in the convolutional layers in Whisper?,3 frames,"['kernel w[k]\nw0wk-1\noutput z[n]\nz1z2z3 …\n…\npadding padding\nFigure 15.3 A schematic view of convolution with a kernel (ﬁlter) width of 3, and with a\npadding of 1, showing a zero value added at the start and end of the signal. The (already\nﬂipped) kernel is walked across the input, and the output at each frame zi is the dot product\nof the kernel with the input in the window. The ﬁgure shows the computation ofz3.\nNote that the size k (the receptive ﬁeld) of the kernel is designed to be small\ncompared to the signal. For example for the convolutional layers in Whisper, the\nkernel width is 3 frames, meaning the kernel is a vector of length 3 (we say that\nthe kernel has a receptive ﬁeldof 3). That means that the kernel is being comparedreceptive ﬁeld']",../data/course_textbook.pdf,351
What is the potential flaw with the inference algorithm mentioned in the text?,"The potential flaw is that the most likely alignment may not correspond to the most likely final collapsed output string Y, as there are many possible alignments that lead to the same output string.","['Subsampling\n… ftf1 log Mel spectrum\nShorter input\nsequence X\ny1\ni\ny2\ni\ny3\ni\ny4\nt\nx1 xn\nClassiﬁer\n+softmax\n…\nt\ny5\n…\n…\noutput letter\nsequence Y\nFigure 15.15 Inference with CTC: using an encoder-only model, with decoding done by\nsimple softmaxes over the hidden state ht at each output step.\nAlas, there is a potential ﬂaw with the inference algorithm sketched in (Eq. 15.17)\nand Fig. 15.14. The problem is that we chose the most likely alignment A, but the\nmost likely alignment may not correspond to the most likely ﬁnal collapsed output\nstring Y . That’s because there are many possible alignments that lead to the same\noutput string, and hence the most likely output string might not correspond to the\nmost probable alignment. For example, imagine the most probable alignment A for']",../data/course_textbook.pdf,364
What is the title of the assignment mentioned in the text chunk?,Fine Tuning for Text Classification,"['Survey on NLP Applications. Information, 14(4), 242. \nAssignment 5: Fine Tuning for Text Classification \n9. WEEK9. In class QUIZ + Large Language Models and Prompt Engineering \nLecture: Prompt based Large Language Models, Transfer learning and reinforcement \nlearning as the basis of LLMs, RLHF, LLMs and applications, Decoding Process in \nGeneration \nLab: None \nReadings: None  \nQuiz: In-class “open-book” quiz on topics covered so far']",../data/course_syllabus.pdf,7
What is top-k sampling in the context of language models?,"Top-k sampling is a method that truncates the distribution to the top k most likely words, renormalizes the probabilities, and then randomly samples from these k words according to their renormalized probabilities.","['words tend to be more creative and more diverse, but less factual and more likely to\nbe incoherent or otherwise low-quality.\n8.6.1 Top- k sampling\nTop-k sampling is a simple generalization of greedy decoding. Instead of choosingtop-k sampling\nthe single most probable word to generate, we ﬁrst truncate the distribution to the\ntop k most likely words, renormalize to produce a legitimate probability distribution,\nand then randomly sample from within thesek words according to their renormalized\nprobabilities. More formally:\n1. Choose in advance a number of words k\n2. For each word in the vocabulary V , use the language model to compute the\nlikelihood of this word given the context p(wt |w<t )\n3. Sort the words by their likelihood, and throw away any word that is not one of']",../data/course_textbook.pdf,198
What is the main objective of the proposed graduate-level course in Natural Language Processing?,The objective of the course is to provide a bird’s eye view of the field of NLP and enable students to make informed decisions while choosing from different career options.,"['as healthcare, finance, legal, libraries and education and beyond.  \n The proposed graduate-level course aims to cover fundamental concepts in Natural \nLanguage Processing / Computational Linguistics  and how they are used to solve real-\nworld problems. Classes in each week will be divided into two segments: (a) Theory and \nMethods, a concise description of an NLP concept, and (b) Lab, a hands-on session on \napplying the theory to a real-world task on publicly available multilingual text datasets. \n\xa0 \nIntention and Objectives \nThe objective of the course is to provide a bird’s eye view of the field of NLP and enable \nstudents to make informed decisions while choosing from different career options, i.e., \nworking on an NLP-based cutting-edge product, joining the industry in an NLP-centric']",../data/course_syllabus.pdf,0
What is Natural Language Processing (NLP) concerned with?,NLP is concerned with interactions between computers and humans through the medium of human languages.,"['circumstances; in those cases, please address all questions to abhijitmishra@utexas.edu \nCourse Description \nNatural Language Processing (NLP) is concerned with interactions between computers and \nhumans through the medium of human languages. It involves analyzing, understanding, \nand generating human language, making it possible for machines to interpret and respond \nto human speech and text. NLP is currently making significant contributions to modern \ntechnological advancements and serves as the backbone of crucial applications such as \nquestion answering, human language translation, summarization, sentiment and emotion \nanalysis, search and recommendation, and information extraction in various domains such \nas healthcare, finance, legal, libraries and education and beyond.']",../data/course_syllabus.pdf,0
What are the main topics covered in WEEK 4 of the course?,"Machine Learning Methods for NLP, Test Classification Details, Feature Engineering with N-gram and TF-IDF, Word Vectors.","['4. WEEK4. Machine Learning Methods for NLP  \nLecture : Test Classification Details, Feature Engineering with N-gram and TF-IDF, Word \nVectors \nLab : Implementing text classifiers, feature engineering, evaluating model performance \nReadings:  \n[1] Text classification pipeline: https://www.oreilly.com/library/view/practical-natural-\nlanguage/9781492054047/ch04.html Links to an external site.  \n[1] Vectorization Techniques in NLP: https://neptune.ai/blog/vectorization-techniques-in-\nnlp-guide \n5. WEEK 5: Unsupervised ML and Topic Modeling \nLecture: Topic modeling basics, LDA, Unsupervised ML basics, K means clustering \nLab: Topic and keyword extraction from text using LDA and clustering methods \nReadings: \n[1] K-means Clustering - A theoretical foundation https://medium.com/@akshay.sinha/k-']",../data/course_syllabus.pdf,6
What is the title of the first reading listed?,Quick introduction to neural networks,['Readings: \n[1] Quick introduction to neural networks (https://ujjwalkarn.me/2016/08/09/quick-\nintro-neural-networks/) \n[2]\xa0 Neural Network with Python (https://victorzhou.com/blog/intro-to-neural-\nnetworks/) \nOptional Readings:'],../data/course_syllabus.pdf,6
What is the duration of the group project update presentation?,5 minutes per group,"['Perplexity, Evaluation of Creativity, Course summary and career options \nProject: Group Project update presentation (5 minutes per group) \nReadings:']",../data/course_syllabus.pdf,8
What resource does UT maintain to assist students with food insecurity?,"UT maintains the UT Outpost, which is a free on-campus food pantry.","['the instructor with the student’s chosen (not legal) name, if you have provided one. If you \nwish to provide or update a chosen name, that can be done easily at this page, and you can \nadd your pronouns to Canvas. \nBasic Needs Security \nAny student who faces challenges securing their food or housing and believes this may \naffect their performance in the course is urged to contact the Dean of Students for support. \nUT maintains the UT Outpost which is a free on-campus food pantry and career closet. \nMental Health Support \nI urge students who are struggling for any reason and who believe that it might impact \ntheir performance in the course to reach out to me if they feel comfortable. This will allow \nme to provide any resources or accommodations that I can. If immediate mental health']",../data/course_syllabus.pdf,10
What is the grade cutoff percentage for a grade of B+?,87%,"['2. WEEK 2. Lexical Analytics : Analyzing Words \nLecture: Morphology and morphological diversities across close and distant languages, \nrepresenting words, featurizing words, word-vectors, distributional semantics \nGrade Cutoff\nA 94%\nA- 90%\nB+ 87%\nB 84%\nB- 80%\nC+ 77%\nC 74%\nC- 70%\nD+ 67%\nD- 60%\nF < 60%']",../data/course_syllabus.pdf,4
What are the potential disciplinary penalties for students who violate University rules on academic dishonesty?,"Students who violate University rules on academic dishonesty are subject to disciplinary penalties, including the possibility of failure in the course and/or dismissal from the University.","['culminating in your growth as a proficient and accomplished NLP practitioner. \nAcademic Integrity \nStudents who violate University rules on academic dishonesty are subject to disciplinary \npenalties, including the possibility of failure in the course and/or dismissal from the \nUniversity. Since such dishonesty harms the individual, all students, and the integrity of \nthe University, policies on academic dishonesty will be strictly enforced. For further \ninformation, please visit the Student Conduct and Academic Integrity website at http://\ndeanofstudents.utexas.edu/conduct. \nAI Tools Usage Policy \nThe utilization of AI-powered tools, including platforms like ChatGPT, Google Gemini, \nMeta LLaMa, DALL-E, or ANY other small/large language/image/audio/video generative']",../data/course_syllabus.pdf,9
What is the topic of the readings assigned for WEEK3?,Syntax Analysis and Information Extraction,"['[1] Word Embeddings https://people.eng.unimelb.edu.au/mbouadjenek/papers/\nwordembed.pdf   \nAssignment 2: Building a word based search application \n3. WEEK3. Syntax Analysis and Information Extraction: Analyzing Sentences \nLecture(s) : Grammar and languages, Representing syntax, Part of Speech Tagging, \nConstituency and Dependency parsing, Entity and relationship extraction, BIO Tagging \ndetails \nLab : Using existing part of speech taggers, Dependency Parsing and Named Entity \nIdentification examples with SpaCY \nReadings (skip the machine learning related portions): \n[1] Chapter 5. Word Classes and Part-of-Speech Tagging, Book: Jurafsky, D., &   \nManning, C. (2012). Natural language processing. Instructor, 212(998), 3482.']",../data/course_syllabus.pdf,5
What are the two broad categories that parts of speech fall into?,closed class and open class,"['NUM Numeral one, two, 2026, 11:00, hundred\nPART Particle: a function word that must be associated with an-\nother word\n’s, not, (inﬁnitive) to\nPRON Pronoun: a shorthand for referring to an entity or event she, who, I, others\nSCONJ Subordinating Conjunction: joins a main clause with a\nsubordinate clause such as a sentential complement\nwhether, because\nOther\nPUNCT Punctuation ˙, , ()\nSYM Symbols like $ or emoji $, %\nX Other asdf, qwfg\nFigure 17.1 The 17 parts of speech in the Universal Dependencies tagset (de Marneffe et al., 2021). Features\ncan be added to make ﬁner-grained distinctions (with properties like number, case, deﬁniteness, and so on).\nParts of speech fall into two broad categories: closed class and open class .closed class']",../data/course_textbook.pdf,390
What is the property of vectors in a system all tending to point in the same direction called?,anisotropy,"['their contextual embeddings.\nUsually some transformations to the embeddings are required before computing\ncosine. This is because contextual embeddings (whether from masked language\nmodels or from autoregressive ones) have the property that the vectors for all words\nare extremely similar. If we look at the embeddings from the ﬁnal layer of BERT\nor other models, embeddings for instances of any two randomly chosen words will\nhave extremely high cosines that can be quite close to 1, meaning all word vectors\ntend to point in the same direction. The property of vectors in a system all tending\nto point in the same direction is known as anisotropy. Ethayarajh (2019) deﬁnes\nthe anisotropy of a model as the expected cosine similarity of any pair of words inanisotropy']",../data/course_textbook.pdf,217
What is the phone number for the Counseling and Mental Health Center (CMHC)?,512-471-3515,"['me to provide any resources or accommodations that I can. If immediate mental health \nassistance is needed, call the Counseling and Mental Health Center (CMHC) at \n512-471-3515 or you may also contact Bryce Moffett, LCSW (iSchool CARE counselor) at \n512-232-2983. Outside CMHC business hours (8a.m.-5p.m., Monday-Friday), contact the \nCMHC 24/7 Crisis Line at 512-471-2255. \nLand Acknowledgement \nI would like to acknowledge that we are meeting on the Indigenous lands of Turtle Island, \nthe ancestral name for what now is called North America. Moreover, I would like to \nacknowledge the Alabama-Coushatta, Caddo, Carrizo/Comecrudo, Coahuiltecan, \nComanche, Kickapoo, Lipan Apache, Tonkawa and Ysleta Del Sur Pueblo, and all the']",../data/course_syllabus.pdf,10
What should you deliver as early as possible in the semester?,Your Accommodation Letter,"['deliver your Accommodation Letter to me as early as possible in the semester so we can \ndiscuss your approved accommodations and needs in this course. \nRequired Materials \nThere is no required textbook for this course. While most of the reading material will be \navailable online at no cost, the following books should be accessed and / or purchased. \nSlides and lecture notes will be provided one week in advance. \nRequired books \n1.Dan Jurafsky and James H. Martin. 2006.   \nSpeech and Language Processing. Unofficial copy: https://pages.ucsd.edu/~bakovic/\ncompphon/Jurafsky, Martin.-Speech and Language Processing_ An Introduction to \nNatural Language Processing (2007).pdf or buy from https://www.amazon.com/Speech-\nLanguage-Processing-Daniel-Jurafsky/dp/0131873210']",../data/course_syllabus.pdf,2
What is the term for a language that is characterized by the structure where the verb typically precedes the object?,verb-framed,"['Russian\nfusion language, 9, 262\nverb-framed, 262\nRVQ, 371\nS as start symbol in CFG,\n410\nsalience, in discourse\nmodel, 526\nsampling, 48, 156\nof analog waveform, 320,\n330\nrate, 320, 330\nsatellite, 262, 553\nsatellite-framed language,\n262\nsaturated, 123\nscaling laws, 193\nschwa, 318\nSCISOR, 479\nsclite, 360\nsclite package, 36\nscript\nSchankian, 487\nscripts, 476\nSDRT (Segmented\nDiscourse\nRepresentation\nTheory), 570\nsearch engine, 237\nsearch tree, 269\nsecond-order\nco-occurrence, 112\nseed pattern in IE, 461\nseed tuples, 461\nsegmentation\nsentence, 30\nselectional association, 495\nselectional preference\nstrength, 494\nselectional preferences\npseudowords for\nevaluation, 496\nselectional restriction, 492\nrepresenting with events,\n493\nviolations in WSD, 494\nself-supervised, 351\nself-supervision, 106, 289']",../data/course_textbook.pdf,623
